customer,state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
EM66435,OR,F,Bachelor,2623.3154,80210.0,65.0,0.0,Corporate Auto,Four-Door Car,20.543176
QX45933,CA,M,Bachelor,17840.1956,0.0,62.0,0.0,Personal Auto,Four-Door Car,385.115437
JI71369,CA,F,College,5106.1118,30110.0,64.0,0.0,Personal Auto,Four-Door Car,140.165035
JU93290,AZ,F,College,17930.6045,21708.0,68.0,0.0,Personal Auto,Four-Door Car,326.4
GU66096,AZ,M,High School or Below,5457.3426,94731.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
UC33108,CA,M,Bachelor,6563.6441,32375.0,83.0,0.0,Personal Auto,Four-Door Car,398.4
LW93867,OR,M,College,4812.5252,16531.0,63.0,0.0,Corporate Auto,Four-Door Car,102.879769
OU78470,AZ,F,Master,29328.0419,32006.0,94.0,0.0,Corporate Auto,Four-Door Car,56.868289
XW90265,AZ,F,Bachelor,5773.520699999999,81676.0,72.0,0.0,Personal Auto,Two-Door Car,463.158502
HS67749,CA,M,College,6847.1189,71038.0,86.0,0.0,Corporate Auto,Four-Door Car,205.444066
VZ51506,AZ,F,High School or Below,3595.3129,0.0,103.0,0.0,Corporate Auto,Luxury,741.6
UI64281,NV,F,Master,22855.6121,20832.0,65.0,0.0,Personal Auto,Two-Door Car,56.371967
AE98193,WA,M,High School or Below,7859.4146,0.0,113.0,0.0,Personal Auto,SUV,813.6
AZ74055,OR,M,High School or Below,4115.5774,52405.0,103.0,0.0,Personal Auto,Four-Door Car,494.4
XS76911,AZ,F,High School or Below,5029.6388,0.0,133.0,0.0,Personal Auto,Luxury,795.864079
AY40674,WA,F,Bachelor,4821.4185,26583.0,1005.0,4.0,Personal Auto,SUV,614.4
NA12740,OR,M,Master,5004.3105,25486.0,65.0,0.0,Special Auto,Two-Door Car,72.438681
UA84837,AZ,M,College,8630.0539,24065.0,111.0,0.0,Corporate Auto,Four-Door Car,532.8
DJ51510,AZ,F,High School or Below,9322.0851,70435.0,116.0,0.0,Personal Auto,Four-Door Car,67.881546
VM58985,CA,M,College,16727.5606,0.0,76.0,2.0,Personal Auto,Two-Door Car,402.636829
OH60605,OR,F,High School or Below,3652.5324,39679.0,92.0,0.0,Personal Auto,Two-Door Car,641.388616
UO98052,NV,M,College,6158.6012,0.0,89.0,0.0,Personal Auto,Four-Door Car,342.481173
NC53424,CA,M,Bachelor,4376.084,0.0,69.0,4.0,Personal Auto,Two-Door Car,331.2
LQ13873,NV,M,High School or Below,5569.4562,53565.0,71.0,1.0,Personal Auto,Four-Door Car,340.8
LA97014,WA,M,Bachelor,2576.513,37574.0,66.0,1.0,Personal Auto,Two-Door Car,412.101933
NB79936,WA,M,Bachelor,8346.983199999999,48259.0,108.0,0.0,Personal Auto,Two-Door Car,73.700573
NT89061,AZ,F,High School or Below,6323.9239,78532.0,78.0,0.0,Personal Auto,Four-Door Car,374.4
AF10970,AZ,F,Bachelor,5973.1434,96163.0,73.0,0.0,Corporate Auto,Four-Door Car,350.4
ZG48513,CA,M,Bachelor,4706.677,0.0,72.0,0.0,Personal Auto,Four-Door Car,345.6
JQ59145,CA,M,High School or Below,8093.4103000000005,0.0,114.0,1.0,Personal Auto,Luxury,722.024742
FE84989,WA,M,College,5035.7446,72672.0,63.0,0.0,Personal Auto,Four-Door Car,259.361117
JT52858,OR,F,Bachelor,9027.8672,99002.0,112.0,1.0,Personal Auto,Four-Door Car,537.6
MC62068,CA,M,High School or Below,7288.8848,79494.0,91.0,0.0,Personal Auto,Four-Door Car,396.295614
EU27538,OR,M,Master,18042.4794,35704.0,225.0,0.0,Personal Auto,Luxury,358.281562
RH42306,AZ,F,Bachelor,4992.063,0.0,71.0,0.0,Corporate Auto,Four-Door Car,653.388564
US23612,OR,F,High School or Below,9102.2678,26049.0,118.0,0.0,Personal Auto,Two-Door Car,121.032372
WV76014,AZ,M,Doctor,2540.4076999999997,70125.0,64.0,0.0,Special Auto,Four-Door Car,92.813396
RK96223,CA,M,College,12941.891899999999,52369.0,110.0,1.0,Personal Auto,SUV,528.0
MF82000,WA,F,Bachelor,2365.3486,0.0,66.0,2.0,Special Auto,Four-Door Car,159.636956
FM46980,AZ,M,College,5720.7651000000005,41770.0,72.0,0.0,Personal Auto,Four-Door Car,476.156957
SY56792,OR,M,High School or Below,7035.534100000001,0.0,101.0,0.0,Corporate Auto,Four-Door Car,727.2
RF61565,CA,M,College,2636.9777000000004,31911.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
IM94808,NV,M,Bachelor,5395.831999999999,70051.0,68.0,0.0,Corporate Auto,Four-Door Car,42.078345
VI14730,OR,M,High School or Below,8382.6301,19683.0,117.0,1.0,Personal Auto,Luxury,561.6
YR34119,WA,F,College,31161.7452,30916.0,112.0,0.0,Personal Auto,SUV,200.11606
RR77985,OR,F,Bachelor,2887.7423,0.0,80.0,0.0,Personal Auto,Four-Door Car,676.944023
QD28391,WA,M,College,7425.8453,84302.0,62.0,0.0,Personal Auto,Four-Door Car,76.609295
WV17090,CA,M,Bachelor,25585.727799999997,0.0,116.0,0.0,Corporate Auto,SUV,830.623064
TM23514,OR,M,College,10272.608199999999,60145.0,132.0,0.0,Personal Auto,SUV,580.473259
MQ68407,OR,F,Bachelor,4376.3636,63774.0,111.0,0.0,Personal Auto,Four-Door Car,60.036683
GJ59592,CA,F,Bachelor,5318.8966,25134.0,67.0,0.0,Corporate Auto,Four-Door Car,321.6
FY56083,OR,M,Bachelor,4719.7622,37057.0,61.0,1.0,Personal Auto,Four-Door Car,47.53101
UA94723,OR,F,High School or Below,4428.031599999999,58577.0,110.0,0.0,Personal Auto,SUV,303.872752
FW91032,CA,M,High School or Below,5879.1761,85857.0,73.0,0.0,Corporate Auto,Four-Door Car,100.620067
DE34457,OR,F,Doctor,9416.9085,70602.0,116.0,0.0,Personal Auto,SUV,481.339891
HD32044,OR,F,Master,8288.1556,33816.0,106.0,2.0,Corporate Auto,Four-Door Car,508.8
HH30454,OR,M,Bachelor,32654.8383,0.0,153.0,0.0,Personal Auto,SUV,1101.6
AH84063,OR,F,College,4719.4501,89642.0,121.0,4.0,Corporate Auto,SUV,86.320022
QA17596,CA,F,Bachelor,3903.4748,60068.0,98.0,0.0,Personal Auto,Two-Door Car,470.4
XI41052,CA,F,Bachelor,5457.2597,50044.0,139.0,0.0,Personal Auto,SUV,667.2
DI30528,CA,F,Master,2725.3564,36650.0,69.0,1.0,Personal Auto,Four-Door Car,56.60333
SC66359,AZ,F,College,4433.9737,50653.0,110.0,0.0,Corporate Auto,SUV,262.865172
EN61670,AZ,F,Doctor,5332.4627,68931.0,66.0,0.0,Personal Auto,Four-Door Car,309.577946
DQ10761,OR,M,Bachelor,2315.095,0.0,73.0,1.0,Corporate Auto,Four-Door Car,350.4
BQ51587,CA,F,College,5411.9537,0.0,73.0,0.0,Personal Auto,Four-Door Car,365.364581
JE21522,CA,M,Bachelor,9587.3323,39266.0,80.0,0.0,Personal Auto,Four-Door Car,384.0
WS47147,CA,M,College,22103.507200000004,0.0,102.0,0.0,Personal Auto,SUV,489.6
ZA64638,NV,F,High School or Below,9764.9453,0.0,98.0,1.0,Personal Auto,Four-Door Car,705.6
EW38459,NV,F,Bachelor,2567.1515,40864.0,65.0,0.0,Corporate Auto,Four-Door Car,9.51528
QW87316,OR,F,College,2650.6228,39035.0,68.0,0.0,Personal Auto,Four-Door Car,244.564334
IC43478,CA,M,Bachelor,11264.3633,34923.0,98.0,0.0,Personal Auto,Two-Door Car,639.105556
TE34064,CA,M,High School or Below,2168.5235000000002,0.0,63.0,0.0,Personal Auto,Four-Door Car,453.6
WU60905,CA,F,High School or Below,8610.6675,0.0,111.0,0.0,Corporate Auto,SUV,532.8
YM18992,CA,F,College,2834.6462,24506.0,71.0,0.0,Personal Auto,Two-Door Car,511.2
PD55753,OR,M,High School or Below,8930.1397,0.0,82.0,0.0,Personal Auto,Four-Door Car,554.522969
KU56006,AZ,F,College,5536.387,52220.0,70.0,1.0,Personal Auto,Four-Door Car,336.0
MJ69973,AZ,M,High School or Below,2840.8543,0.0,74.0,0.0,Personal Auto,Two-Door Car,402.449823
TW43626,CA,M,College,8082.880999999999,53554.0,67.0,0.0,Personal Auto,Four-Door Car,327.020539
XX84133,CA,M,Bachelor,5254.7343,34476.0,67.0,1.0,Corporate Auto,Four-Door Car,5.3953
ZW84453,AZ,F,Bachelor,5116.2376,0.0,70.0,0.0,Personal Auto,Four-Door Car,131.401291
HO29524,CA,M,College,3034.647,68205.0,76.0,0.0,Personal Auto,Two-Door Car,99.382943
VE89726,CA,F,High School or Below,8024.8999,0.0,119.0,1.0,Personal Auto,SUV,856.8
GE87503,CA,M,High School or Below,18211.143200000002,53690.0,154.0,0.0,Personal Auto,SUV,739.2
PX90263,OR,M,High School or Below,5121.5633,0.0,72.0,0.0,Personal Auto,Four-Door Car,518.4
NI17718,CA,F,High School or Below,2150.1785999999997,0.0,61.0,0.0,Personal Auto,Four-Door Car,292.8
FY32213,CA,F,High School or Below,5595.3899,74454.0,71.0,0.0,Personal Auto,Four-Door Car,340.8
RZ13254,NV,F,Bachelor,7562.8240000000005,0.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
GN45013,OR,M,High School or Below,5385.8532,29664.0,71.0,0.0,Personal Auto,Four-Door Car,340.8
NM39588,WA,F,Doctor,2678.0583,72450.0,66.0,0.0,Corporate Auto,Four-Door Car,84.218363
KU84464,NV,F,Bachelor,9422.5679,47272.0,79.0,3.0,Personal Auto,Four-Door Car,64.546877
YH43527,OR,F,College,3605.8603000000003,21585.0,92.0,0.0,Corporate Auto,Four-Door Car,441.6
RO30676,CA,F,College,7762.5906,23827.0,106.0,2.0,Personal Auto,Four-Door Car,37.910623
QL59704,AZ,F,College,23444.9005,69906.0,74.0,2.0,Corporate Auto,Four-Door Car,202.860399
QH19450,CA,F,High School or Below,2558.1782000000003,0.0,72.0,0.0,Corporate Auto,Four-Door Car,345.6
SA54664,WA,M,Master,2654.381,73196.0,66.0,1.0,Personal Auto,Four-Door Car,85.809817
CI38330,WA,M,Bachelor,2549.7861,72217.0,6464.0,0.0,Personal Auto,Four-Door Car,91.146661
WB38524,CA,M,High School or Below,2969.5933,46131.0,74.0,0.0,Personal Auto,Two-Door Car,355.2
CE56187,OR,F,Master,4363.1246,54514.0,109.0,3.0,Personal Auto,SUV,286.234931
JL19416,CA,F,High School or Below,5884.3086,0.0,161.0,0.0,Personal Auto,SUV,1159.2
JZ61422,NV,F,College,5272.1916,96668.0,66.0,0.0,Personal Auto,Four-Door Car,316.8
LA13377,CA,M,Doctor,5509.895699999999,78879.0,69.0,1.0,Personal Auto,Four-Door Car,466.570791
NC99948,NV,M,College,16313.683500000001,0.0,69.0,0.0,Personal Auto,Four-Door Car,331.2
QD34785,AZ,F,Bachelor,5678.050200000001,0.0,76.0,0.0,Personal Auto,Four-Door Car,364.8
RO26085,CA,F,Bachelor,12101.208799999999,0.0,112.0,0.0,Personal Auto,Luxury,1252.406235
ES57969,OR,M,Bachelor,2453.5708,29735.0,69.0,0.0,Personal Auto,Four-Door Car,331.2
JK55587,CA,M,High School or Below,5075.6627,23082.0,65.0,0.0,Special Auto,Four-Door Car,312.0
RN97635,AZ,M,Bachelor,3214.9794,53984.0,80.0,0.0,Corporate Auto,Four-Door Car,421.484456
BI76326,CA,F,College,12275.3431,52135.0,156.0,0.0,Personal Auto,SUV,430.505942
JA34909,CA,F,College,2722.2107,17576.0,71.0,0.0,Corporate Auto,Four-Door Car,398.502948
OJ90342,OR,F,Bachelor,2457.4409,29486.0,62.0,0.0,Personal Auto,Four-Door Car,7.646763
CM88932,OR,F,Master,3554.8453000000004,58557.0,88.0,0.0,Corporate Auto,Four-Door Car,55.510526
JJ97525,CA,M,Bachelor,4929.5497,25632.0,63.0,0.0,Personal Auto,Two-Door Car,351.270869
XV21647,CA,F,High School or Below,8036.4503,0.0,112.0,0.0,Personal Auto,Luxury,806.4
MC83487,AZ,M,Bachelor,4276.915300000001,18768.0,68.0,3.0,Corporate Auto,Four-Door Car,647.454583
BL90769,CA,F,Bachelor,33473.349500000004,33190.0,106.0,0.0,Personal Auto,SUV,508.8
CR57148,OR,F,Master,5960.5814,47945.0,74.0,0.0,Personal Auto,Two-Door Car,128.43823
CP85232,AZ,M,College,44795.4694,58778.0,126.0,0.0,Special Auto,SUV,302.033971
YL74732,CA,F,High School or Below,3832.1181,15192.0,100.0,0.0,Personal Auto,SUV,480.0
FG16766,CA,F,Bachelor,6837.9326,51859.0,171.0,0.0,Personal Auto,SUV,1003.160633
NV55438,NV,F,High School or Below,5285.2681999999995,23422.0,72.0,0.0,Personal Auto,Two-Door Car,518.4
RM10880,CA,F,College,3096.5112,21604.0,79.0,0.0,Corporate Auto,Four-Door Car,379.2
GL56175,AZ,M,College,3589.7107,79298.0,90.0,0.0,Personal Auto,Four-Door Car,244.362072
UK52289,AZ,F,Bachelor,2582.4085,76731.0,64.0,0.0,Special Auto,Four-Door Car,201.455005
OT85112,WA,M,College,3403.9194,38460.0,88.0,1.0,Personal Auto,Four-Door Car,91.55098
BC62782,AZ,F,College,13575.676000000001,48534.0,115.0,1.0,Personal Auto,SUV,552.0
TI19722,WA,M,Doctor,3436.1342999999997,30817.0,88.0,0.0,Corporate Auto,Four-Door Car,91.834668
JP30654,OR,F,College,28685.8279,48412.0,104.0,0.0,Personal Auto,SUV,707.430832
UM45563,WA,M,Bachelor,4502.6797,68798.0,114.0,0.0,Personal Auto,SUV,92.915251
EN60878,OR,M,Bachelor,6183.1115,23712.0,85.0,0.0,Personal Auto,Four-Door Car,376.126419
JF36291,CA,M,College,3873.647,28142.0,105.0,0.0,Personal Auto,Luxury,701.708239
BK59444,CA,F,Master,18929.3306,72196.0,68.0,0.0,Personal Auto,Four-Door Car,152.184244
MK70700,CA,M,Master,5553.2958,68197.0,69.0,0.0,Personal Auto,Four-Door Car,176.819414
IW71076,CA,M,Bachelor,5011.2591999999995,75248.0,63.0,0.0,Corporate Auto,Four-Door Car,104.454624
AP98768,CA,F,College,10442.4463,0.0,98.0,0.0,Personal Auto,Four-Door Car,941.718054
OM24164,NV,M,Bachelor,2199.6178,0.0,65.0,1.0,Personal Auto,Two-Door Car,468.0
HR85211,WA,F,Master,5123.1709,89879.0,63.0,0.0,Personal Auto,Two-Door Car,94.030308
VC87846,OR,M,High School or Below,7484.3105000000005,46998.0,96.0,0.0,Corporate Auto,Four-Door Car,460.8
ZM92052,OR,M,Bachelor,2613.0231,57099.0,67.0,0.0,Personal Auto,Two-Door Car,67.859881
ON73702,AZ,F,Bachelor,9080.6397,33897.0,114.0,0.0,Corporate Auto,SUV,539.843003
QQ90441,NV,F,High School or Below,13770.976200000001,59207.0,116.0,0.0,Personal Auto,Four-Door Car,556.8
HU35721,OR,M,High School or Below,2876.8228999999997,40171.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
YP47665,WA,M,Doctor,5408.9115,80192.0,67.0,0.0,Personal Auto,Four-Door Car,95.193157
FU99476,WA,M,High School or Below,6770.3068,74422.0,85.0,1.0,Personal Auto,Four-Door Car,95.338505
AG85615,OR,M,College,24143.8756,0.0,87.0,0.0,Special Auto,Four-Door Car,626.4
OY74069,AZ,F,College,3538.0595000000003,0.0,67.0,5.0,Personal Auto,Four-Door Car,321.6
DJ91267,NV,F,Bachelor,29091.2394,34226.0,244.0,0.0,Personal Auto,Luxury,494.395024
KB72438,CA,F,High School or Below,19834.2012,65989.0,123.0,1.0,Personal Auto,SUV,115.545086
TR67616,OR,M,High School or Below,4731.367,30686.0,61.0,0.0,Corporate Auto,Four-Door Car,19.938981
GF65731,CA,F,Master,35537.846,0.0,113.0,0.0,Personal Auto,Luxury,799.926741
HB67642,AZ,F,High School or Below,34611.379,20090.0,109.0,0.0,Personal Auto,Luxury,523.2
DP84567,CA,M,High School or Below,20216.3088,0.0,183.0,0.0,Personal Auto,Luxury,878.4
VV77534,OR,M,College,13976.5193,77094.0,176.0,0.0,Personal Auto,SUV,444.470676
GL67540,CA,F,College,5904.088199999999,97413.0,73.0,0.0,Personal Auto,Four-Door Car,268.819985
SV50502,OR,F,Master,5595.835,79189.0,69.0,0.0,Corporate Auto,Four-Door Car,331.2
UK59698,CA,F,High School or Below,2294.3035999999997,0.0,62.0,0.0,Personal Auto,Two-Door Car,297.6
OA57352,AZ,F,College,6273.911899999999,18577.0,86.0,0.0,Personal Auto,Four-Door Car,412.8
ZF84449,OR,F,College,3726.728,0.0,112.0,1.0,Special Auto,Luxury,806.4
AX86150,WA,M,High School or Below,2656.7131,62777.0,67.0,0.0,Personal Auto,Two-Door Car,101.288069
HG39060,OR,M,Bachelor,5110.6808,0.0,74.0,0.0,Corporate Auto,Four-Door Car,532.8
EM29359,NV,M,College,7126.596500000001,17483.0,183.0,0.0,Personal Auto,Luxury,1317.6
SF57173,OR,M,Master,4601.634099999999,84394.0,114.0,0.0,Personal Auto,SUV,691.412378
OT47603,OR,M,College,9155.2397,0.0,127.0,0.0,Personal Auto,Luxury,804.811859
SW31412,OR,F,College,14808.0562,41440.0,62.0,1.0,Personal Auto,Four-Door Car,297.6
JS36322,AZ,M,High School or Below,8901.678399999999,0.0,136.0,1.0,Personal Auto,Luxury,1090.86434
RE81445,OR,F,College,5734.598199999999,98132.0,71.0,0.0,Personal Auto,Two-Door Car,50.587035
RM24280,OR,F,High School or Below,4177.697,0.0,112.0,0.0,Personal Auto,Four-Door Car,537.6
LC25393,CA,M,Bachelor,27776.2891,88220.0,230.0,0.0,Personal Auto,Luxury,151.528482
UX38930,AZ,F,Master,10364.3475,58327.0,129.0,0.0,Personal Auto,SUV,347.075948
HD95496,OR,M,Master,7851.9014,25950.0,66.0,0.0,Personal Auto,Two-Door Car,271.697529
RX24650,OR,M,High School or Below,4772.9438,20993.0,133.0,0.0,Corporate Auto,SUV,638.4
DW19309,OR,M,High School or Below,14226.5049,65726.0,177.0,0.0,Corporate Auto,SUV,849.6
MT41386,WA,M,Bachelor,2875.4323999999997,84768.0,72.0,0.0,Personal Auto,Two-Door Car,110.484661
WZ40465,WA,F,Bachelor,5041.2996,36234.0,63.0,0.0,Personal Auto,Four-Door Car,113.534474
DB42794,CA,M,College,4362.9312,58842.0,110.0,0.0,Personal Auto,Four-Door Car,528.0
JB50798,OR,F,Master,9624.5244,25629.0,124.0,2.0,Corporate Auto,Luxury,595.2
IP69763,WA,F,College,21914.405499999997,77311.0,181.0,0.0,Personal Auto,SUV,113.609508
TE35785,CA,M,Doctor,6948.4222,0.0,196.0,2.0,Personal Auto,Luxury,1337.063487
HX74855,WA,M,High School or Below,2471.5284,95697.0,61.0,0.0,Personal Auto,Two-Door Car,114.273025
QN65180,OR,F,Bachelor,21903.9136,22254.0,79.0,0.0,Personal Auto,Four-Door Car,125.194389
GE47180,NV,M,High School or Below,9028.8214,65974.0,113.0,0.0,Personal Auto,Luxury,235.220971
VQ38776,OR,F,College,5303.759499999999,0.0,76.0,0.0,Personal Auto,Four-Door Car,395.34111
BH86846,WA,M,High School or Below,20708.2588,92079.0,65.0,1.0,Corporate Auto,Four-Door Car,114.798771
IN17648,NV,M,High School or Below,5123.7681,0.0,74.0,0.0,Personal Auto,Two-Door Car,772.798511
DF95759,OR,M,College,9492.343,0.0,132.0,0.0,Personal Auto,SUV,633.6
QG45324,OR,F,High School or Below,8204.8632,0.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
MN61620,AZ,F,College,9877.295699999999,67752.0,131.0,4.0,Personal Auto,Luxury,168.517149
YH86390,CA,F,Bachelor,4815.0097,25398.0,64.0,0.0,Corporate Auto,Four-Door Car,307.2
FY13480,CA,M,High School or Below,6277.0117,0.0,88.0,0.0,Personal Auto,Four-Door Car,633.6
YH61661,CA,M,High School or Below,8260.639799999999,33321.0,105.0,0.0,Special Auto,SUV,504.0
NL93182,NV,M,Bachelor,2549.45,0.0,78.0,0.0,Corporate Auto,Four-Door Car,845.654042
LN31673,WA,not available,College,11318.0898,38923.0,99.0,2.0,Personal Auto,Four-Door Car,115.728852
WE68644,OR,F,Bachelor,3803.9218,20325.0,100.0,0.0,Personal Auto,Luxury,668.29397
EZ30498,OR,M,Bachelor,8635.4035,13129.0,117.0,0.0,Personal Auto,SUV,700.901632
QY74517,OR,F,High School or Below,5510.559,0.0,73.0,0.0,Personal Auto,Four-Door Car,525.6
NM88660,NV,M,Master,3585.8840999999998,49080.0,91.0,0.0,Corporate Auto,Four-Door Car,25.299
MZ82036,NV,M,College,4889.2528,42536.0,63.0,0.0,Personal Auto,Four-Door Car,375.330097
ID20929,OR,M,Bachelor,2756.9417,29926.0,74.0,0.0,Corporate Auto,Four-Door Car,418.233667
EY50028,NV,M,Doctor,3289.5474,0.0,86.0,0.0,Corporate Auto,Two-Door Car,398.240791
TT82373,CA,F,Bachelor,10937.178500000002,21450.0,138.0,0.0,Personal Auto,Luxury,938.513425
OH64088,CA,M,High School or Below,7375.5679,33345.0,65.0,0.0,Corporate Auto,Four-Door Car,338.619869
SK97780,CA,F,Bachelor,10110.778199999999,15752.0,90.0,0.0,Corporate Auto,Two-Door Car,339.344531
IO33050,OR,F,High School or Below,5119.4143,40169.0,65.0,1.0,Personal Auto,Four-Door Car,302.818833
XA55917,CA,F,College,8533.832,26049.0,113.0,1.0,Personal Auto,SUV,619.165344
JK32620,NV,M,College,2224.768,0.0,68.0,0.0,Personal Auto,Four-Door Car,326.4
RQ19236,AZ,M,Doctor,8042.8038,55411.0,100.0,0.0,Personal Auto,Luxury,259.561195
QC47433,OR,M,College,2554.4371,12459.0,70.0,0.0,Personal Auto,Four-Door Car,336.0
RA93608,OR,M,Bachelor,18073.94,64620.0,76.0,1.0,Personal Auto,Two-Door Car,364.8
XH97711,CA,M,Bachelor,2430.5066,83140.0,61.0,0.0,Corporate Auto,Four-Door Car,179.161843
AU96286,OR,F,Bachelor,3167.6584000000003,0.0,92.0,0.0,Corporate Auto,Four-Door Car,662.4
KC17170,AZ,F,Bachelor,5465.604,54422.0,68.0,0.0,Corporate Auto,Four-Door Car,75.501852
ZN47335,CA,M,College,10357.5142,68309.0,131.0,0.0,Corporate Auto,SUV,306.983596
EI46264,CA,M,High School or Below,2537.8139,56621.0,65.0,2.0,Personal Auto,Four-Door Car,84.026848
EK87864,AZ,F,College,2821.9471999999996,38977.0,70.0,0.0,Special Auto,Four-Door Car,139.489926
GV45403,AZ,M,Bachelor,7757.128100000001,0.0,111.0,0.0,Corporate Auto,Two-Door Car,607.4459
QK31192,AZ,M,High School or Below,4079.1327,0.0,114.0,0.0,Corporate Auto,Two-Door Car,631.124372
LU89008,AZ,F,College,5955.544599999999,0.0,83.0,0.0,Personal Auto,Four-Door Car,628.023494
NS10490,OR,F,Bachelor,14158.6136,83235.0,70.0,0.0,Personal Auto,Two-Door Car,336.0
KL98495,NV,M,College,8487.238000000001,0.0,74.0,0.0,Personal Auto,Two-Door Car,426.655599
IU96845,AZ,M,College,6285.4769,32390.0,80.0,0.0,Personal Auto,Four-Door Car,91.417923
QL93655,OR,F,High School or Below,11473.4815,66538.0,95.0,0.0,Personal Auto,Two-Door Car,317.844812
PF40592,WA,F,College,4942.6306,23285.0,65.0,0.0,Personal Auto,Two-Door Car,118.446235
LZ34046,OR,M,Bachelor,23594.6802,76358.0,66.0,0.0,Personal Auto,Four-Door Car,86.461582
JC80093,WA,M,Master,2572.5066,21104.0,66.0,0.0,Personal Auto,Four-Door Car,118.454974
YE88490,AZ,F,College,5380.8985999999995,55350.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
YC80498,CA,F,College,4770.5509,12964.0,65.0,0.0,Personal Auto,Two-Door Car,362.774545
AI85843,AZ,F,Master,6756.6514,33288.0,86.0,2.0,Personal Auto,Four-Door Car,221.856184
XD66024,AZ,F,College,5936.0118,0.0,84.0,0.0,Personal Auto,Four-Door Car,980.169081
FY51713,AZ,F,Bachelor,3570.7605,56168.0,88.0,0.0,Personal Auto,Four-Door Car,614.675906
PH26378,CA,M,College,6019.9605,0.0,92.0,0.0,Personal Auto,Four-Door Car,662.4
WQ18638,OR,M,High School or Below,5426.8640000000005,23105.0,69.0,0.0,Personal Auto,Two-Door Car,331.2
KY14688,OR,F,Master,2730.3138,36218.0,68.0,0.0,Personal Auto,Four-Door Car,145.252168
TC97762,CA,F,High School or Below,4982.6814,52275.0,62.0,0.0,Corporate Auto,Four-Door Car,374.240783
QC87108,OR,F,College,8769.266800000001,49665.0,74.0,0.0,Personal Auto,Four-Door Car,355.2
CX12134,NV,M,High School or Below,4220.6134999999995,32471.0,110.0,0.0,Personal Auto,Two-Door Car,528.0
SM73248,AZ,M,High School or Below,11537.5051,0.0,86.0,1.0,Corporate Auto,Two-Door Car,619.2
CK19789,CA,F,Master,5887.182,62773.0,73.0,0.0,Personal Auto,Four-Door Car,80.669257
UV12583,CA,F,College,4700.5838,76694.0,117.0,0.0,Personal Auto,SUV,561.6
JC11405,OR,M,High School or Below,10963.957199999999,55687.0,276.0,0.0,Personal Auto,Luxury,1324.8
KA89683,AZ,F,High School or Below,2523.1711999999998,0.0,70.0,0.0,Personal Auto,Four-Door Car,504.0
BG85305,NV,M,Doctor,3757.8046999999997,36633.0,96.0,1.0,Personal Auto,Four-Door Car,460.8
UQ87917,OR,M,High School or Below,12941.7335,77060.0,106.0,0.0,Personal Auto,SUV,468.566133
XN11823,NV,F,Bachelor,3764.4651,92600.0,94.0,0.0,Corporate Auto,Two-Door Car,842.43785
OS46571,CA,M,High School or Below,6889.557,0.0,66.0,0.0,Personal Auto,Four-Door Car,475.2
PX17116,NV,M,College,3623.4541999999997,0.0,111.0,2.0,Corporate Auto,SUV,1171.93117
RP19541,AZ,M,College,7582.1138,64801.0,64.0,0.0,Personal Auto,Four-Door Car,268.471802
ZR25747,OR,F,College,8277.7456,45257.0,103.0,0.0,Corporate Auto,Two-Door Car,494.4
NQ86532,CA,M,High School or Below,2576.4556,26854.0,66.0,0.0,Personal Auto,Four-Door Car,475.2
JY27336,OR,F,College,8205.3879,85840.0,102.0,2.0,Corporate Auto,SUV,138.722385
PB54378,OR,F,Doctor,19582.4689,26463.0,72.0,0.0,Corporate Auto,Four-Door Car,345.6
SV38190,NV,F,Bachelor,6481.5266,30689.0,81.0,0.0,Personal Auto,Four-Door Car,467.24802
CV24005,OR,M,High School or Below,2599.3109,29590.0,66.0,0.0,Corporate Auto,Two-Door Car,467.503236
EX28656,OR,F,College,9830.3376,25965.0,253.0,0.0,Personal Auto,Luxury,1214.4
CF57022,OR,M,Bachelor,10442.6514,17269.0,139.0,0.0,Personal Auto,SUV,667.2
GM16780,OR,M,College,36057.537000000004,90330.0,137.0,3.0,Corporate Auto,Luxury,192.085299
BX94438,CA,F,High School or Below,8470.0368,0.0,113.0,0.0,Corporate Auto,SUV,619.973889
RM41745,CA,F,High School or Below,8278.7865,0.0,110.0,0.0,Personal Auto,Four-Door Car,1002.782553
XR70252,CA,F,High School or Below,4788.9326,0.0,67.0,1.0,Personal Auto,Two-Door Car,321.6
YH92099,AZ,F,Bachelor,3087.9999,18558.0,80.0,0.0,Special Auto,Four-Door Car,384.0
SG81493,AZ,M,Bachelor,4443.7362,46384.0,113.0,0.0,Corporate Auto,Four-Door Car,251.774574
ZX23819,OR,F,High School or Below,7984.0865,0.0,72.0,0.0,Personal Auto,Two-Door Car,866.208321
FJ54907,OR,F,College,7180.971,42303.0,180.0,0.0,Personal Auto,Luxury,1210.920949
CU26127,CA,F,Bachelor,15656.0343,71731.0,130.0,0.0,Corporate Auto,SUV,599.648466
YH60476,OR,M,High School or Below,5780.182199999999,51066.0,74.0,0.0,Corporate Auto,Four-Door Car,787.993313
